date,avg_bpm
2021-12-08,65.69973064288267
2021-12-09,63.65941520890102
2021-12-10,67.63065637801276
2021-12-11,60.3856609279253
2021-12-12,58.42689326917688
2021-12-13,62.734394898109215
2021-12-14,66.96387050951367
2021-12-15,70.46208779265282
2021-12-16,65.47934797161602
2021-12-17,61.40081666171801
2021-12-18,68.85745525018693
2021-12-19,62.20320012257362
2021-12-20,57.196990074508435
2021-12-21,61.2343834872352
2021-12-22,61.50964353430985
2021-12-23,62.44770450352446
2021-12-24,63.50060986048104
2021-12-25,63.870008202640896
2021-12-26,63.25920365578229
2021-12-27,64.76535877540142
2021-12-28,63.17612651050125
2021-12-29,60.96175490941511
2021-12-30,57.35060449294876
2021-12-31,66.78576156411496
2022-01-01,58.88504086531158
2022-01-02,66.37624156671664
2022-01-03,59.80698158051099
2022-01-04,62.943744033006
2022-01-05,64.6120129784978
2022-01-06,69.18901672844413
2022-01-07,69.11155256723717
2022-01-08,76.0321359223301
2022-01-09,62.00936739440779
2022-01-10,58.77227564192103
2022-01-11,61.5549662487946
2022-01-12,60.697242425058974
2022-01-13,59.93514227036954
2022-01-14,64.67045021179662
2022-01-15,66.88998211091234
2022-01-16,61.54805958473655
2022-01-17,58.7184359274347
2022-01-18,59.32934059286146
2022-01-19,63.655011615672855
2022-01-20,62.07586988021771
2022-01-21,62.803862371714374
2022-01-22,62.349399599733154
2022-01-23,59.4612063680539
2022-01-24,61.21276788764691
2022-01-25,59.65624261217841
2022-01-26,62.25439822165767
2022-01-27,59.19233498935415
2022-01-29,58.099228896103895
2022-01-30,61.768694125068905
2022-01-31,58.59702527823311
2022-02-01,64.12773051669997
2022-02-02,60.89198218262806
2022-02-03,65.36116756325961
2022-02-04,63.18276541819206
2022-02-05,63.078327948303716
2022-02-06,68.57294851412499
2022-02-07,64.69179758562899
2022-02-08,62.126865374547904
2022-02-09,61.80670130469025
2022-02-10,60.050984196176586
2022-02-11,60.69695704779189
2022-02-12,60.678473336674045
2022-02-13,60.689739387236216
2022-02-14,57.19268508717548
2022-02-15,58.466214758090366
2022-02-16,61.501419079364375
2022-02-17,66.11885216566235
2022-02-18,58.797068718001086
2022-02-19,61.90632250580046
2022-02-20,58.08505154639175
2022-02-21,59.07265961613788
2022-02-22,57.0486641221374
2022-02-23,67.10526315789474
2022-02-24,56.94377467994069
2022-02-25,54.95135963232478
2022-02-26,71.9813158885542
2022-02-27,58.27389900224141
2022-02-28,59.76785534401128
2022-03-01,60.20312116513489
2022-03-02,62.25211435156787
2022-03-03,67.02185626240674
2022-03-04,66.49430907186186
2022-03-05,59.08663282571912
2022-03-08,67.1456339270197
2022-03-09,59.481279411066524
2022-03-10,60.62014238257231
2022-03-11,60.273563218390805
2022-03-12,64.23797027208599
2022-03-13,60.6018149906913
2022-03-14,59.76004805655633
2022-03-15,59.50330821439593
2022-03-16,56.08806475350509
2022-03-17,57.62916452787759
2022-03-18,59.701055056979314
2022-03-19,62.06004533028825
2022-03-20,64.69850936959287
2022-03-21,58.55993580156009
2022-03-22,56.14188034188034
2022-03-23,59.95675144837725
2022-03-24,63.223126877968404
2022-03-25,59.71866912849217
2022-03-26,60.53398240904312
2022-03-27,58.45074262250162
2022-03-28,60.22509485219354
2022-03-29,56.70544276021631
2022-03-30,67.30568372276447
2022-03-31,67.4576981707317
2022-04-01,65.99930644126908
2022-04-02,59.96691505786579
2022-04-03,56.73190006357654
2022-04-04,62.54068500733989
2022-04-05,66.76847678486351
2022-04-06,70.0623848968322
2022-04-07,60.97635174759559
2022-04-08,61.773472253548796
2022-04-09,61.545533798798914
2022-04-10,57.38050244781458
2022-04-11,59.63179604446603
2022-04-12,60.51733304786883
2022-04-13,62.863658931306986
2022-04-14,58.67543223962831
2022-04-15,55.186984820799445
2022-04-16,57.79504887281333
2022-04-17,52.2246045216987
2022-04-18,53.88458243480752
2022-04-19,58.762171392105024
2022-04-20,60.19042936166476
2022-04-21,64.028655314215
2022-04-22,55.623869959198814
2022-04-23,59.536479222281955
2022-04-24,68.52104352813761
2022-04-25,60.96951488750875
2022-04-26,61.11644533949005
2022-04-27,58.519881780344626
2022-04-28,60.050239676591524
2022-04-29,60.92649246445474
2022-04-30,61.28593820633267
2022-05-01,58.10910304229783
2022-05-02,57.42787953562012
2022-05-03,56.44315292408282
2022-05-04,66.58470370884145
2022-05-05,61.361068580542266
2022-05-06,56.54825266641487
2022-05-07,57.23373502558382
2022-05-08,61.43825738008782
2022-05-09,57.768573111122116
2022-05-10,56.92636341346355
2022-05-11,63.62459284871808
2022-05-12,58.19663489628981
2022-05-13,52.68669846228889
2022-05-14,56.994778451921306
2022-05-15,51.20883789939104
2022-05-16,51.226009378430774
2022-05-17,55.02261503481186
2022-05-18,65.073749953005
2022-05-19,62.85932710537744
2022-05-20,60.492030826441336
2022-05-21,55.741691722533275
2022-05-22,57.732097030179645
2022-05-23,56.21994557329463
2022-05-24,57.458142701937476
2022-05-25,60.79005585906635
2022-05-26,60.30911827726378
2022-05-27,59.564494220626884
2022-05-28,55.45998414612995
2022-05-29,59.21547706288284
2022-05-30,58.094245283018864
2022-05-31,55.68650793650794
2022-06-01,63.86888781541259
2022-06-02,57.226956228628296
2022-06-03,55.86905725302451
2022-06-04,55.57960203599943
2022-06-05,55.9782374500412
2022-06-06,56.5444877420731
2022-06-07,58.889129802480234
2022-06-08,59.39869382098877
2022-06-09,53.84810017776888
2022-06-10,50.662273169299645
2022-06-11,54.55075535771192
2022-06-12,55.395627951117845
2022-06-13,57.0569909421432
2022-06-14,57.88980100200027
2022-06-15,63.2208231457204
2022-06-16,57.96995108520356
2022-06-17,67.12518015536487
2022-06-18,62.0973619798749
